MU/USDT|momentum_v1|{"returns_5_min": 0.02, "min_confidence": 0.65, "rsi_momentum_low": 55.0, "volume_ratio_min": 1.1, "rsi_momentum_high": 80.0}|["2026-05-20T20:37:05.597685+00:00", "2026-09-15T20:37:05.597685+00:00"]
NBIS/USDT|momentum_v1|{"returns_5_min": 0.01, "min_confidence": 0.55, "rsi_momentum_low": 55.0, "volume_ratio_min": 1.1, "rsi_momentum_high": 80.0}|["2026-05-20T20:38:57.051775+00:00", "2026-09-15T20:38:57.051775+00:00"]
NOT/USDT|trend_following_v1|{"adx_min": 30.0, "rsi_min_long": 50.0, "rsi_max_short": 50.0, "min_confidence": 0.45, "volume_ratio_min": 0.8}|["2026-05-20T23:22:46.989700+00:00", "2026-09-15T23:22:46.989700+00:00"]
NXPC/USDT|trend_following_v1|{"adx_min": 30.0, "rsi_min_long": 50.0, "rsi_max_short": 50.0, "min_confidence": 0.45, "volume_ratio_min": 0.8}|["2026-05-20T20:40:12.281437+00:00", "2026-09-15T20:40:12.281437+00:00"]
O/USDT|mean_reversion_v1|{"rsi_oversold": 35.0, "min_confidence": 0.55, "rsi_overbought": 65.0, "bb_position_long": 0.15, "bb_position_short": 0.85}|["2026-05-20T20:40:55.424810+00:00", "2026-09-15T20:40:55.424810+00:00"]
ONG/USDT|trend_following_v1|{"adx_min": 20.0, "rsi_min_long": 50.0, "rsi_max_short": 50.0, "min_confidence": 0.45, "volume_ratio_min": 0.8}|["2026-05-20T20:42:04.636938+00:00", "2026-09-15T20:42:04.636938+00:00"]
ORDI/USDT|mean_reversion_v1|{"rsi_oversold": 30.0, "min_confidence": 0.65, "rsi_overbought": 65.0, "bb_position_long": 0.15, "bb_position_short": 0.85}|["2026-05-20T20:43:21.422300+00:00", "2026-09-15T20:43:21.422300+00:00"]
PHAROS/USDT|mean_reversion_v1|{"rsi_oversold": 35.0, "min_confidence": 0.55, "rsi_overbought": 65.0, "bb_position_long": 0.15, "bb_position_short": 0.85}|["2026-05-20T20:44:21.140815+00:00", "2026-09-15T20:44:21.140815+00:00"]
PORTAL/USDT|momentum_v1|{"returns_5_min": 0.005, "min_confidence": 0.45, "rsi_momentum_low": 55.0, "volume_ratio_min": 1.1, "rsi_momentum_high": 80.0}|["2026-05-20T20:44:53.845427+00:00", "2026-09-15T20:44:53.845427+00:00"]
QNTX/USDT|mean_reversion_v1|{"rsi_oversold": 35.0, "min_confidence": 0.55, "rsi_overbought": 65.0, "bb_position_long": 0.15, "bb_position_short": 0.85}|["2026-05-20T20:47:20.979509+00:00", "2026-09-15T20:47:20.979509+00:00"]
